2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 123 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 124 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 125 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 126 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 127 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@66fa360 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 128 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@66fa360
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 129 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@66fa360 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 130 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@66fa360
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 131 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 132 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@22e3c673 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@57b4bdb5
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:52:34 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.League was updated in the dataBase
2020-May-30 12:58:16 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:58:18 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 14604 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:58:18 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:58:18 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:58:38 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 21.663 seconds (JVM running for 27.516)
2020-May-30 12:59:39 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:59:41 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 23792 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:59:41 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:59:41 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 13:00:02 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 22.386 seconds (JVM running for 30.373)
2020-May-30 13:00:33 PM [http-nio-8080-exec-4] INFO  eventLogger - A Game Scheduler policy was activated set to league: LaLiga by FAR: 1
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new Match created, id: 133 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@40b351c ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@571178f1
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 13:00:34 PM [http-nio-8080-exec-4] INFO  eventLogger - A new Match created, id: 134 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@571178f1 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@40b351c
